stateId,igr,igrPerCapita,faacAllocation,totalRevenue,unemploymentRate,povertyRate
NG-AB,20108232055.98,,,,,
NG-AD,13175774969.53,,,,,
NG-AK,34812381023.95,,,,,
NG-AN,33971393160.73,,,,,
NG-BA,25471119111.31,,,,,
NG-BY,15902659947.63,,,,,
NG-BE,15952846966.36,,,,,
NG-BO,19061946487.10,,,,,
NG-CR,21098947831.94,,,,,
NG-DE,85901607747.30,,,,,
NG-EB,12426178539.06,,,,,
NG-ED,47458128071.16,,,,,
NG-EK,17029726605.18,,,,,
NG-EN,28691843017.50,,,,,
NG-FC,124366774519.25,,,,,
NG-GO,13597161181.51,,,,,
NG-IM,19337136489.82,,,,,
NG-JI,20549414387.49,,,,,
NG-KD,58094591085.91,,,,,
NG-KN,42509911699.94,,,,,
NG-KT,13045383440.23,,,,,
NG-KE,9146249907.83,,,,,
NG-KO,18214434263.83,,,,,
NG-KW,35756949370.01,,,,,
NG-LA,651145633085.30,,,,,
NG-NA,19277607937.43,,,,,
NG-NI,16930259572.87,,,,,
NG-OG,120584157140.78,,,,,
NG-ON,32640660900.25,,,,,
NG-OS,24605340053.84,,,,,
NG-OY,62246150460.36,,,,,
NG-PL,15927001738.99,,,,,
NG-RI,172823232535.44,,,,,
NG-SO,23617172198.73,,,,,
NG-TA,10238110125.95,,,,,
NG-YO,10456776796.18,,,,,
NG-ZA,19439732224.09,,,,,
