stateId,igr,igrPerCapita,faacAllocation,totalRevenue,unemploymentRate,povertyRate
NG-AB,23733850109.25,,,,,
NG-AD,17066189975.84,,,,,
NG-AK,43184024626.77,,,,,
NG-AN,33461368560.43,,,,,
NG-BA,30584925750.61,,,,,
NG-BY,19823620909.85,,,,,
NG-BE,19116355922.46,,,,,
NG-BO,19454028414.29,,,,,
NG-CR,31560579757.55,,,,,
NG-DE,114088309224.99,,,,,
NG-EB,30840470281.40,,,,,
NG-ED,64671497361.77,,,,,
NG-EK,32096050316.10,,,,,
NG-EN,33862940857.74,,,,,
NG-FC,211100288136.36,,,,,
NG-GO,15179050180.25,,,,,
NG-IM,21051313291.22,,,,,
NG-JI,27536191163.83,,,,,
NG-KD,62490117635.22,,,,,
NG-KN,37379619998.26,,,,,
NG-KT,26956610135.68,,,,,
NG-KE,11737075709.00,,,,,
NG-KO,26780470381.06,,,,,
NG-KW,59642678119.83,,,,,
NG-LA,815864679971.27,,,,,
NG-NA,23487435037.29,,,,,
NG-NI,21675391059.11,,,,,
NG-OG,146875041475.36,,,,,
NG-ON,41501551387.36,,,,,
NG-OS,27925037155.17,,,,,
NG-OY,52745497059.04,,,,,
NG-PL,25844931675.45,,,,,
NG-RI,195414581585.34,,,,,
NG-SO,17961334445.30,,,,,
NG-TA,10869178343.94,,,,,
NG-YO,11194721282.86,,,,,
NG-ZA,22162590810.59,,,,,
